typology,type,V1,taxon.level,variable
brt12,all observations,0.264632620182039,genus,Anosim R
illies,all observations,0.137766852071948,genus,Anosim R
brt12_illies,all observations,0.283211655335861,genus,Anosim R
her,all observations,0.438418654963165,genus,Anosim R
brt12_bgr,all observations,0.288965404298567,genus,Anosim R
brt12,least impacted,0.29300854177798,genus,Anosim R
illies,least impacted,0.110682435330728,genus,Anosim R
brt12_illies,least impacted,0.321710288390919,genus,Anosim R
her,least impacted,0.419541266652578,genus,Anosim R
brt12_bgr,least impacted,0.324869099611111,genus,Anosim R
brt12,purified,0.334901381179611,genus,Anosim R
illies,purified,0.129680111512755,genus,Anosim R
brt12_illies,purified,0.369079932604888,genus,Anosim R
her,purified,0.467923296592281,genus,Anosim R
brt12_bgr,purified,0.363520471011598,genus,Anosim R
brt12,all observations,0.212877004687197,genus,ivs_corr
illies,all observations,0.200013689938171,genus,ivs_corr
brt12_illies,all observations,0.285247754837918,genus,ivs_corr
her,all observations,0.319892190421345,genus,ivs_corr
brt12_bgr,all observations,0.280178584860002,genus,ivs_corr
brt12,least impacted,0.278466403016632,genus,ivs_corr
illies,least impacted,0.249660944624241,genus,ivs_corr
brt12_illies,least impacted,0.340022376467904,genus,ivs_corr
her,least impacted,0.361196461949227,genus,ivs_corr
brt12_bgr,least impacted,0.319434301407264,genus,ivs_corr
brt12,purified,0.323030901111599,genus,ivs_corr
illies,purified,0.230312449822365,genus,ivs_corr
brt12_illies,purified,0.364594564208024,genus,ivs_corr
her,purified,0.395264507824423,genus,ivs_corr
brt12_bgr,purified,0.357027850027246,genus,ivs_corr
brt12,all observations,0.212877004687197,genus,ivs_corr
illies,all observations,0.200013689938171,genus,ivs_corr
brt12_illies,all observations,0.285247754837918,genus,ivs_corr
her,all observations,0.319892190421345,genus,ivs_corr
brt12_bgr,all observations,0.280178584860002,genus,ivs_corr
brt12,least impacted,0.278466403016632,genus,ivs_corr
illies,least impacted,0.249660944624241,genus,ivs_corr
brt12_illies,least impacted,0.340022376467904,genus,ivs_corr
her,least impacted,0.361196461949227,genus,ivs_corr
brt12_bgr,least impacted,0.319434301407264,genus,ivs_corr
brt12,purified,0.323030901111599,genus,ivs_corr
illies,purified,0.230312449822365,genus,ivs_corr
brt12_illies,purified,0.364594564208024,genus,ivs_corr
her,purified,0.395264507824423,genus,ivs_corr
brt12_bgr,purified,0.357027850027246,genus,ivs_corr
brt12,all observations,0.0498483412091571,genus,cs
illies,all observations,0.136497885301158,genus,cs
brt12_illies,all observations,0.09365590363873,genus,cs
her,all observations,0.134632846815351,genus,cs
brt12_bgr,all observations,0.0908128645393473,genus,cs
brt12,least impacted,0.0650656653537487,genus,cs
illies,least impacted,0.148271769504178,genus,cs
