typology,type,V1,taxon.level,variable
brt12,all observations,0.237476354556614,family,Anosim R
brt12,least impacted,0.212711643256455,family,Anosim R
brt12,purified,0.201166699566017,family,Anosim R
brt12,all observations,0.237476354556614,family,Anosim R
brt12,least impacted,0.212711643256455,family,Anosim R
brt12,purified,0.201166699566017,family,Anosim R
brt12,all observations,0.325062894957835,family,ivs_corr
brt12,least impacted,0.322118218000281,family,ivs_corr
brt12,purified,0.250035067786822,family,ivs_corr
brt12,all observations,0.325062894957835,family,ivs_corr
brt12,least impacted,0.322118218000281,family,ivs_corr
brt12,purified,0.250035067786822,family,ivs_corr
brt12,all observations,0.0739849698892405,family,cs
brt12,least impacted,0.0621223011359955,family,cs
brt12,purified,0.0529677000105748,family,cs
brt12,all observations,0.0739849698892405,family,cs
brt12,least impacted,0.0621223011359955,family,cs
brt12,purified,0.0529677000105748,family,cs
