typology,type,V1,taxon.level,variable
brt12,all observations,0.543263421110557,species,Anosim R
german_type,all observations,0.765030465824318,species,Anosim R
brt12,least impacted,0.650024937375722,species,Anosim R
german_type,least impacted,0.805407845513244,species,Anosim R
brt12,purified,0.565667108482957,species,Anosim R
german_type,purified,0.839581114485053,species,Anosim R
brt12,all observations,0.470441380194818,genus,Anosim R
german_type,all observations,0.708129926644251,genus,Anosim R
brt12,least impacted,0.550144239094942,genus,Anosim R
german_type,least impacted,0.734531066722253,genus,Anosim R
brt12,purified,0.542008236020119,genus,Anosim R
german_type,purified,0.809609484130881,genus,Anosim R
brt12,all observations,0.411454308311926,family,Anosim R
german_type,all observations,0.607331963323226,family,Anosim R
brt12,least impacted,0.469668807636069,family,Anosim R
german_type,least impacted,0.64894517348579,family,Anosim R
brt12,purified,0.529261853950234,family,Anosim R
german_type,purified,0.753718902657333,family,Anosim R
brt12,all observations,0.543263421110557,species,Anosim R
german_type,all observations,0.765030465824318,species,Anosim R
brt12,least impacted,0.650024937375722,species,Anosim R
german_type,least impacted,0.805407845513244,species,Anosim R
brt12,purified,0.565667108482957,species,Anosim R
german_type,purified,0.839581114485053,species,Anosim R
brt12,all observations,0.470441380194818,genus,Anosim R
german_type,all observations,0.708129926644251,genus,Anosim R
brt12,least impacted,0.550144239094942,genus,Anosim R
german_type,least impacted,0.734531066722253,genus,Anosim R
brt12,purified,0.542008236020119,genus,Anosim R
german_type,purified,0.809609484130881,genus,Anosim R
brt12,all observations,0.411454308311926,family,Anosim R
german_type,all observations,0.607331963323226,family,Anosim R
brt12,least impacted,0.469668807636069,family,Anosim R
german_type,least impacted,0.64894517348579,family,Anosim R
brt12,purified,0.529261853950234,family,Anosim R
german_type,purified,0.753718902657333,family,Anosim R
brt12,all observations,0.317231515497417,species,ivs_corr
german_type,all observations,0.408178442991899,species,ivs_corr
brt12,least impacted,0.495273168030816,species,ivs_corr
german_type,least impacted,0.493442717802832,species,ivs_corr
brt12,purified,0.305304253606016,species,ivs_corr
german_type,purified,0.469091364665807,species,ivs_corr
brt12,all observations,0.317231515497417,genus,ivs_corr
german_type,all observations,0.408178442991899,genus,ivs_corr
brt12,least impacted,0.495273168030816,genus,ivs_corr
german_type,least impacted,0.493442717802832,genus,ivs_corr
brt12,purified,0.305304253606016,genus,ivs_corr
german_type,purified,0.469091364665807,genus,ivs_corr
brt12,all observations,0.317231515497417,family,ivs_corr
german_type,all observations,0.408178442991899,family,ivs_corr
brt12,least impacted,0.495273168030816,family,ivs_corr
german_type,least impacted,0.493442717802832,family,ivs_corr
brt12,purified,0.305304253606016,family,ivs_corr
german_type,purified,0.469091364665807,family,ivs_corr
brt12,all observations,0.317231515497417,species,ivs_corr
german_type,all observations,0.408178442991899,species,ivs_corr
brt12,least impacted,0.495273168030816,species,ivs_corr
german_type,least impacted,0.493442717802832,species,ivs_corr
brt12,purified,0.305304253606016,species,ivs_corr
german_type,purified,0.469091364665807,species,ivs_corr
brt12,all observations,0.317231515497417,genus,ivs_corr
german_type,all observations,0.408178442991899,genus,ivs_corr
brt12,least impacted,0.495273168030816,genus,ivs_corr
german_type,least impacted,0.493442717802832,genus,ivs_corr
brt12,purified,0.305304253606016,genus,ivs_corr
german_type,purified,0.469091364665807,genus,ivs_corr
brt12,all observations,0.317231515497417,family,ivs_corr
german_type,all observations,0.408178442991899,family,ivs_corr
brt12,least impacted,0.495273168030816,family,ivs_corr
german_type,least impacted,0.493442717802832,family,ivs_corr
brt12,purified,0.305304253606016,family,ivs_corr
german_type,purified,0.469091364665807,family,ivs_corr
brt12,all observations,0.150113253310176,species,cs
german_type,all observations,0.231385930235556,species,cs
brt12,least impacted,0.205975857223825,species,cs
german_type,least impacted,0.217252396999464,species,cs
brt12,purified,0.107550318571539,species,cs
german_type,purified,0.260834547869325,species,cs
brt12,all observations,0.137181143279478,genus,cs
german_type,all observations,0.204247802486278,genus,cs
brt12,least impacted,0.168084196191691,genus,cs
german_type,least impacted,0.17948669028627,genus,cs
brt12,purified,0.0898068477150002,genus,cs
german_type,purified,0.234998344223242,genus,cs
brt12,all observations,0.112764122272336,family,cs
german_type,all observations,0.171843364823859,family,cs
brt12,least impacted,0.126390109250165,family,cs
german_type,least impacted,0.132937990629826,family,cs
brt12,purified,0.0780895145023343,family,cs
german_type,purified,0.191234516155426,family,cs
brt12,all observations,0.150113253310176,species,cs
german_type,all observations,0.231385930235556,species,cs
brt12,least impacted,0.205975857223825,species,cs
german_type,least impacted,0.217252396999464,species,cs
brt12,purified,0.107550318571539,species,cs
german_type,purified,0.260834547869325,species,cs
brt12,all observations,0.137181143279478,genus,cs
german_type,all observations,0.204247802486278,genus,cs
brt12,least impacted,0.168084196191691,genus,cs
german_type,least impacted,0.17948669028627,genus,cs
brt12,purified,0.0898068477150002,genus,cs
german_type,purified,0.234998344223242,genus,cs
brt12,all observations,0.112764122272336,family,cs
german_type,all observations,0.171843364823859,family,cs
brt12,least impacted,0.126390109250165,family,cs
german_type,least impacted,0.132937990629826,family,cs
brt12,purified,0.0780895145023343,family,cs
german_type,purified,0.191234516155426,family,cs
