typology,type,V1,taxon.level,variable
brt12,all observations,0.0688916919646214,family,Anosim R
illies,all observations,0.0446324496304679,family,Anosim R
brt12_illies,all observations,0.0552962464148787,family,Anosim R
brt12,least impacted,0.038854880211972,family,Anosim R
illies,least impacted,0.057347578187652,family,Anosim R
brt12_illies,least impacted,0.0397449459215438,family,Anosim R
brt12,purified,0.0228890708387339,family,Anosim R
illies,purified,0.0421304112010571,family,Anosim R
brt12_illies,purified,0.0296495857531232,family,Anosim R
brt12,all observations,0.0688916919646214,family,Anosim R
illies,all observations,0.0446324496304679,family,Anosim R
brt12_illies,all observations,0.0552962464148787,family,Anosim R
brt12,least impacted,0.038854880211972,family,Anosim R
illies,least impacted,0.057347578187652,family,Anosim R
brt12_illies,least impacted,0.0397449459215438,family,Anosim R
brt12,purified,0.0228890708387339,family,Anosim R
illies,purified,0.0421304112010571,family,Anosim R
brt12_illies,purified,0.0296495857531232,family,Anosim R
brt12,all observations,0.175637415266308,family,ivs_corr
illies,all observations,0.237452543029439,family,ivs_corr
brt12_illies,all observations,0.254046191134885,family,ivs_corr
brt12,least impacted,0.224076422578587,family,ivs_corr
illies,least impacted,0.249248571346948,family,ivs_corr
brt12_illies,least impacted,0.307381349224688,family,ivs_corr
brt12,purified,0.232493650350744,family,ivs_corr
illies,purified,0.220971013386274,family,ivs_corr
brt12_illies,purified,0.303228018983687,family,ivs_corr
brt12,all observations,0.175637415266308,family,ivs_corr
illies,all observations,0.237452543029439,family,ivs_corr
brt12_illies,all observations,0.254046191134885,family,ivs_corr
brt12,least impacted,0.224076422578587,family,ivs_corr
illies,least impacted,0.249248571346948,family,ivs_corr
brt12_illies,least impacted,0.307381349224688,family,ivs_corr
brt12,purified,0.232493650350744,family,ivs_corr
illies,purified,0.220971013386274,family,ivs_corr
brt12_illies,purified,0.303228018983687,family,ivs_corr
brt12,all observations,0.0562739773684261,family,cs
illies,all observations,0.115565496402269,family,cs
brt12_illies,all observations,0.105471517406186,family,cs
brt12,least impacted,0.0442396641577688,family,cs
illies,least impacted,0.115326032682765,family,cs
brt12_illies,least impacted,0.0811958639031114,family,cs
brt12,purified,0.00964937803744757,family,cs
illies,purified,0.0439432811234747,family,cs
brt12_illies,purified,0.0284497495729551,family,cs
brt12,all observations,0.0562739773684261,family,cs
illies,all observations,0.115565496402269,family,cs
brt12_illies,all observations,0.105471517406186,family,cs
brt12,least impacted,0.0442396641577688,family,cs
illies,least impacted,0.115326032682765,family,cs
brt12_illies,least impacted,0.0811958639031114,family,cs
brt12,purified,0.00964937803744757,family,cs
illies,purified,0.0439432811234747,family,cs
brt12_illies,purified,0.0284497495729551,family,cs
